Date,Open,High,Low,Close,Adj Close,Volume
2007-01-25,84.919998,85.430000,84.570000,84.610001,84.610001,0
2007-02-01,84.650002,85.199997,84.400002,84.750000,84.750000,0
2007-02-08,84.669998,85.209999,84.070000,84.199997,84.199997,0
2007-02-15,84.099998,84.410004,83.889999,84.209999,84.209999,0
2007-02-22,84.239998,84.529999,83.400002,83.570000,83.570000,0
2007-03-01,83.620003,84.260002,83.470001,83.779999,83.779999,0
2007-03-08,83.750000,84.379997,83.480003,83.610001,83.610001,0
2007-03-15,83.720001,83.809998,82.739998,82.769997,82.769997,0
2007-03-22,82.739998,83.459999,82.650002,83.029999,83.029999,0
2007-03-29,83.070000,83.330002,82.639999,82.959999,82.959999,0
2007-04-05,82.940002,83.180000,82.559998,82.669998,82.669998,0
2007-04-12,82.610001,82.669998,81.570000,81.739998,81.739998,0
2007-04-19,81.570000,81.930000,81.290001,81.430000,81.430000,0
2007-04-26,81.449997,81.940002,81.250000,81.739998,81.739998,0
2007-05-03,81.800003,82.040001,81.540001,82.019997,82.019997,0
2007-05-10,82.019997,82.379997,81.660004,82.160004,82.160004,0
2007-05-17,82.160004,82.599998,82.080002,82.309998,82.309998,0
2007-05-24,82.309998,82.519997,82.050003,82.430000,82.430000,0
2007-05-31,82.440002,82.589996,81.699997,81.900002,81.900002,0
2007-06-07,81.940002,83.269997,81.870003,83.040001,83.040001,0
2007-06-14,83.040001,83.250000,82.459999,82.519997,82.519997,0
2007-06-21,82.629997,82.760002,82.199997,82.320000,82.320000,0
2007-06-28,82.330002,82.349998,81.309998,81.430000,81.430000,0
2007-07-05,81.449997,81.730003,80.620003,80.730003,80.730003,0
2007-07-12,80.760002,80.839996,80.230003,80.419998,80.419998,0
2007-07-19,80.470001,80.709999,80.019997,80.650002,80.650002,0
2007-07-26,80.599998,81.089996,80.290001,80.870003,80.870003,0
2007-08-02,80.839996,80.910004,79.959999,80.339996,80.339996,0
2007-08-09,80.269997,81.870003,80.230003,81.820000,81.820000,0
2007-08-16,81.980003,82.129997,81.029999,81.250000,81.250000,0
2007-08-23,81.230003,81.290001,80.580002,80.699997,80.699997,0
2007-08-30,80.690002,81.139999,80.440002,80.620003,80.620003,0
2007-09-06,80.660004,80.709999,79.320000,79.360001,79.360001,0
